Scanning 11 equip archives...
Processing S3D:  gequip.s3d Skip Images:  true
[PFS] Directory count: 854 at offset 2455341
  [202] Entry: CRC=0x453a204a, Offset=2241266, Size=908
  [203] Entry: CRC=0x4592fd81, Offset=628456, Size=5174
  [204] Entry: CRC=0x45b587c0, Offset=25920, Size=5176
  [205] Entry: CRC=0x45cc1e5d, Offset=306283, Size=1336
  [206] Entry: CRC=0x46918244, Offset=2059372, Size=840
  [207] Entry: CRC=0x47754ea2, Offset=148665, Size=5176
  [208] Entry: CRC=0x48630e50, Offset=1599434, Size=5176
  [209] Entry: CRC=0x48a719b9, Offset=1305463, Size=840
  [210] Entry: CRC=0x492cf554, Offset=2389577, Size=5168
  [211] Entry: CRC=0x4948fbeb, Offset=1299375, Size=5174
  [212] Entry: CRC=0x497af661, Offset=317247, Size=1236
  [213] Entry: CRC=0x49c35bca, Offset=2305271, Size=9272
  [214] Entry: CRC=0x4a4c4422, Offset=594181, Size=5174
  [215] Entry: CRC=0x4a9a9ddf, Offset=1332048, Size=1084
  [216] Entry: CRC=0x4aaea4df, Offset=800131, Size=5174
  [217] Entry: CRC=0x4b1db7f8, Offset=626962, Size=5174
  [218] Entry: CRC=0x4bb7dfb9, Offset=2076765, Size=2104
  [219] Entry: CRC=0x4bff5705, Offset=784148, Size=5174
  [220] Entry: CRC=0x4c48ffa0, Offset=854237, Size=5174
  [221] Entry: CRC=0x4c9206fb, Offset=2176950, Size=720
  [222] Entry: CRC=0x4cea3ff4, Offset=1821691, Size=5176
  [223] Entry: CRC=0x4d190c7a, Offset=846312, Size=5174
  [224] Entry: CRC=0x4d19961e, Offset=1729588, Size=17464
  [225] Entry: CRC=0x4d22dac9, Offset=2164619, Size=4376
  [226] Entry: CRC=0x4d43f09c, Offset=455712, Size=5176
  [227] Entry: CRC=0x4d92aeb4, Offset=1937291, Size=1240
  [228] Entry: CRC=0x4da7dcfa, Offset=172278, Size=5176
  [229] Entry: CRC=0x4e51c0ce, Offset=278175, Size=4400
  [230] Entry: CRC=0x4f6e63e1, Offset=203978, Size=5176
  [231] Entry: CRC=0x4ff8b78b, Offset=1978014, Size=9272
  [232] Entry: CRC=0x5035ba80, Offset=625227, Size=5174
  [233] Entry: CRC=0x50d75a7d, Offset=784944, Size=5174
  [234] Entry: CRC=0x51207882, Offset=536119, Size=2080
  [235] Entry: CRC=0x5134133e, Offset=1345655, Size=5174
  [236] Entry: CRC=0x5164495a, Offset=593291, Size=5174
  [237] Entry: CRC=0x5186a9a7, Offset=801745, Size=5174
  [238] Entry: CRC=0x518d6a7b, Offset=2064462, Size=372
  [239] Entry: CRC=0x5204f82c, Offset=2391671, Size=5168
  [240] Entry: CRC=0x521a3dd3, Offset=1827122, Size=736
  [241] Entry: CRC=0x52565c1d, Offset=2205545, Size=2104
  [242] Entry: CRC=0x5270ae74, Offset=1858416, Size=1556
  [243] Entry: CRC=0x5305e3cf, Offset=136706, Size=1884
  [244] Entry: CRC=0x53a92d99, Offset=1432824, Size=33848
  [245] Entry: CRC=0x54d0baf3, Offset=1976372, Size=9272
  [246] Entry: CRC=0x54d18fb3, Offset=334548, Size=8412
  [247] Entry: CRC=0x551bb1d1, Offset=2276223, Size=880
  [248] Entry: CRC=0x55dff007, Offset=2441058, Size=5174
  [249] Entry: CRC=0x560ce8a2, Offset=2196458, Size=3128
  [250] Entry: CRC=0x56310102, Offset=847555, Size=5174
  [251] Entry: CRC=0x567d1a22, Offset=2066434, Size=5174
  [252] Entry: CRC=0x56af43d3, Offset=2071383, Size=2104
  [253] Entry: CRC=0x571f053e, Offset=2347615, Size=2104
  [254] Entry: CRC=0x5727daa2, Offset=1325447, Size=2104
  [255] Entry: CRC=0x5760f2d8, Offset=855432, Size=5174
  [256] Entry: CRC=0x57c8876e, Offset=1937898, Size=1196
  [257] Entry: CRC=0x57eba042, Offset=2169861, Size=1696
  [258] Entry: CRC=0x58a9fc2c, Offset=2414667, Size=5176
  [259] Entry: CRC=0x58ed436f, Offset=737621, Size=4416
  [260] Entry: CRC=0x5967d131, Offset=2243349, Size=3126
  [261] Entry: CRC=0x596e1f96, Offset=97369, Size=4812
  [262] Entry: CRC=0x59a2e142, Offset=1701110, Size=4160
  [263] Entry: CRC=0x59bcb0b5, Offset=755607, Size=5174
  [264] Entry: CRC=0x59efb8a1, Offset=864189, Size=5174
  [265] Entry: CRC=0x59fbd68b, Offset=175469, Size=5174
  [266] Entry: CRC=0x5a7c86d3, Offset=911994, Size=4680
  [267] Entry: CRC=0x5aa3ed4d, Offset=1459036, Size=17460
  [268] Entry: CRC=0x5ae2b7f8, Offset=103908, Size=5176
  [269] Entry: CRC=0x5af425c4, Offset=338315, Size=3126
  [270] Entry: CRC=0x5b21b57a, Offset=2191716, Size=1560
  [271] Entry: CRC=0x5bd23d50, Offset=1289967, Size=5174
  [272] Entry: CRC=0x5c631c29, Offset=2207793, Size=352
  [273] Entry: CRC=0x5cd46eb8, Offset=2302611, Size=5174
  [274] Entry: CRC=0x5d982662, Offset=673223, Size=5174
  [275] Entry: CRC=0x5e1c1ddd, Offset=307252, Size=1192
  [276] Entry: CRC=0x5ebaf0f9, Offset=630585, Size=5174
  [277] Entry: CRC=0x5feb0323, Offset=611356, Size=5174
  [278] Entry: CRC=0x601b4394, Offset=2165931, Size=1552
  [279] Entry: CRC=0x60611bf2, Offset=850379, Size=5174
  [280] Entry: CRC=0x6083fb0f, Offset=678101, Size=5174
  [281] Entry: CRC=0x6130e828, Offset=852959, Size=5174
  [282] Entry: CRC=0x61580ac9, Offset=2451790, Size=14670
  [283] Entry: CRC=0x61fa18f4, Offset=153534, Size=2104
  [284] Entry: CRC=0x6280a003, Offset=1979445, Size=9272
  [285] Entry: CRC=0x6307fef7, Offset=401646, Size=3128
  [286] Entry: CRC=0x630b6e7e, Offset=2187138, Size=5176
  [287] Entry: CRC=0x638feaf7, Offset=2446432, Size=5174
  [288] Entry: CRC=0x639c30f4, Offset=2362173, Size=2104
  [289] Entry: CRC=0x63d6a920, Offset=2409927, Size=5176
  [290] Entry: CRC=0x6430ec63, Offset=1300978, Size=5174
  [291] Entry: CRC=0x6454e2dc, Offset=2393800, Size=5168
  [292] Entry: CRC=0x658ebb35, Offset=219197, Size=3128
  [293] Entry: CRC=0x659a23fe, Offset=233273, Size=5174
  [294] Entry: CRC=0x65c21578, Offset=2297338, Size=976
  [295] Entry: CRC=0x6665a070, Offset=621173, Size=5174
  [296] Entry: CRC=0x6687408d, Offset=786871, Size=5174
  [297] Entry: CRC=0x673453aa, Offset=595305, Size=5174
  [298] Entry: CRC=0x6760044e, Offset=193929, Size=2048
  [299] Entry: CRC=0x67675bbe, Offset=920344, Size=5174
  [300] Entry: CRC=0x67d6b357, Offset=798744, Size=5174
  [301] Entry: CRC=0x68497269, Offset=459050, Size=17464
  [302] Entry: CRC=0x68aa097d, Offset=156423, Size=5176
  [303] Entry: CRC=0x68cd9048, Offset=30919, Size=5176
  [304] Entry: CRC=0x68d1b14d, Offset=22205, Size=2104
  [305] Entry: CRC=0x68eaea09, Offset=634534, Size=5174
  [306] Entry: CRC=0x68f8f4a9, Offset=614299, Size=5174
  [307] Entry: CRC=0x690af13a, Offset=684044, Size=5174
  [308] Entry: CRC=0x69973e2a, Offset=2406162, Size=1336
  [309] Entry: CRC=0x69ae2c78, Offset=484220, Size=17464
  [310] Entry: CRC=0x69bb19d3, Offset=609143, Size=5174
  [311] Entry: CRC=0x6a670794, Offset=222036, Size=2104
  [312] Entry: CRC=0x6a6fc72c, Offset=2402523, Size=5176
  [313] Entry: CRC=0x6bf631e2, Offset=372928, Size=592
  [314] Entry: CRC=0x6c561a83, Offset=2381558, Size=436
  [315] Entry: CRC=0x6c64ad7c, Offset=2097285, Size=5176
  [316] Entry: CRC=0x6c7f9437, Offset=590542, Size=5174
  [317] Entry: CRC=0x6d737473, Offset=2383112, Size=716
  [318] Entry: CRC=0x6d8227a0, Offset=1293265, Size=5174
  [319] Entry: CRC=0x6d9a7f47, Offset=2201951, Size=2104
  [320] Entry: CRC=0x6db7b21d, Offset=2431010, Size=732
  [321] Entry: CRC=0x6e4d5f31, Offset=2324575, Size=2104
  [322] Entry: CRC=0x6e8c834b, Offset=2340811, Size=2104
  [323] Entry: CRC=0x6ebd599f, Offset=740567, Size=4336
  [324] Entry: CRC=0x6efc0162, Offset=2171099, Size=684
  [325] Entry: CRC=0x6f37cbc1, Offset=2250146, Size=5174
  [326] Entry: CRC=0x6fabcc7b, Offset=180005, Size=5174
  [327] Entry: CRC=0x6fbfa251, Offset=865960, Size=5174
  [328] Entry: CRC=0x6fecaa45, Offset=752920, Size=5174
  [329] Entry: CRC=0x6ff2fbb2, Offset=1702819, Size=5176
  [330] Entry: CRC=0x7073c451, Offset=143703, Size=5176
  [331] Entry: CRC=0x71a57204, Offset=1845718, Size=5176
  [332] Entry: CRC=0x7222fc42, Offset=685729, Size=5174
  [333] Entry: CRC=0x72233886, Offset=352647, Size=448
  [334] Entry: CRC=0x729314ab, Offset=608007, Size=5174
  [335] Entry: CRC=0x72d617a8, Offset=108491, Size=5176
  [336] Entry: CRC=0x7316aa42, Offset=2086460, Size=2572
  [337] Entry: CRC=0x73ae9786, Offset=2171586, Size=1012
  [338] Entry: CRC=0x73c2e771, Offset=632434, Size=5174
  [339] Entry: CRC=0x73e59d30, Offset=35760, Size=1592
  [340] Entry: CRC=0x74084fbf, Offset=2192879, Size=5176
  [341] Entry: CRC=0x741fc6b9, Offset=2245906, Size=5174
  [342] Entry: CRC=0x7483c103, Offset=182340, Size=5174
  [343] Entry: CRC=0x7497af29, Offset=867012, Size=5174
  [344] Entry: CRC=0x74c4a73d, Offset=754376, Size=5174
  [345] Entry: CRC=0x74daf6ca, Offset=1701179, Size=5176
  [346] Entry: CRC=0x759554e7, Offset=741449, Size=4292
  [347] Entry: CRC=0x75ba4556, Offset=155456, Size=1556
  [348] Entry: CRC=0x767a2ac1, Offset=2275743, Size=1224
  [349] Entry: CRC=0x76aa2ad8, Offset=1291260, Size=5174
  [350] Entry: CRC=0x76e2ab35, Offset=1305972, Size=744
  [351] Entry: CRC=0x7741087f, Offset=2421031, Size=4296
  [352] Entry: CRC=0x7851f897, Offset=1946533, Size=1336
  [353] Entry: CRC=0x78a58806, Offset=282229, Size=1692
  [354] Entry: CRC=0x78a7e78f, Offset=2443752, Size=5174
  [355] Entry: CRC=0x78b1fd51, Offset=1496970, Size=66616
  [356] Entry: CRC=0x78c4ca16, Offset=1308502, Size=1120
  [357] Entry: CRC=0x78feec98, Offset=197537, Size=1336
  [358] Entry: CRC=0x79079c2a, Offset=1778090, Size=17464
  [359] Entry: CRC=0x79a9983b, Offset=334993, Size=4848
  [360] Entry: CRC=0x7a18e550, Offset=851757, Size=5174
  [361] Entry: CRC=0x7a5fcd2a, Offset=1327437, Size=5176
  [362] Entry: CRC=0x7b16c424, Offset=538412, Size=3128
  [363] Entry: CRC=0x7b49168a, Offset=848948, Size=5174
